# xterm patch-410 X resource compatibility baseline
# Generated from the active resource tables in the neighboring patch-410 build.
# scope<TAB>resource name<TAB>resource class<TAB>compiled default
vt100	alwaysHighlight	AlwaysHighlight	false
vt100	appcursorDefault	AppcursorDefault	false
vt100	appkeypadDefault	AppkeypadDefault	false
vt100	alternateScroll	ScrollCond	false
vt100	autoWrap	AutoWrap	true
vt100	awaitInput	AwaitInput	false
vt100	freeBoldBox	FreeBoldBox	false
vt100	backarrowKey	BackarrowKey	false
vt100	bellIsUrgent	BellIsUrgent	false
vt100	bellOnReset	BellOnReset	true
vt100	boldMode	BoldMode	true
vt100	brokenSelections	BrokenSelections	false
vt100	c132	C132	false
vt100	cdXtraScroll	CdXtraScroll	False
vt100	colorInnerBorder	ColorInnerBorder	false
vt100	curses	Curses	false
vt100	cutNewline	CutNewline	true
vt100	cutToBeginningOfLine	CutToBeginningOfLine	true
vt100	deleteIsDEL	DeleteIsDEL	true
vt100	dynamicColors	DynamicColors	true
vt100	eightBitControl	EightBitControl	false
vt100	eightBitInput	EightBitInput	true
vt100	eightBitOutput	EightBitOutput	true
vt100	eraseSavedLines	EraseSavedLines	true
vt100	highlightSelection	HighlightSelection	false
vt100	showWrapMarks	ShowWrapMarks	false
vt100	hpLowerleftBugCompat	HpLowerleftBugCompat	false
vt100	i18nSelections	I18nSelections	true
vt100	fastScroll	FastScroll	true
vt100	jumpScroll	JumpScroll	true
vt100	keepClipboard	KeepClipboard	false
vt100	keepSelection	KeepSelection	true
vt100	loginShell	LoginShell	false
vt100	marginBell	MarginBell	false
vt100	metaSendsEscape	MetaSendsEscape	true
vt100	multiScroll	MultiScroll	false
vt100	oldXtermFKeys	OldXtermFKeys	false
vt100	popOnBell	PopOnBell	false
vt100	preferLatin1	PreferLatin1	true
vt100	printRawChars	PrintRawChars	false
vt100	printerAutoClose	PrinterAutoClose	false
vt100	printerExtent	PrinterExtent	false
vt100	printerFormFeed	PrinterFormFeed	false
vt100	printerNewLine	PrinterNewLine	true
vt100	quietGrab	QuietGrab	false
vt100	resizeByPixel	ResizeByPixel	false
vt100	reverseVideo	ReverseVideo	false
vt100	reverseWrap	ReverseWrap	false
vt100	scrollBar	ScrollBar	false
vt100	scrollKey	ScrollCond	false
vt100	scrollTtyOutput	ScrollCond	true
vt100	selectToClipboard	SelectToClipboard	false
vt100	signalInhibit	SignalInhibit	false
vt100	titeInhibit	TiteInhibit	false
vt100	tiXtraScroll	TiXtraScroll	False
vt100	trimSelection	TrimSelection	false
vt100	underLine	UnderLine	true
vt100	visualBell	VisualBell	false
vt100	visualBellLine	VisualBellLine	false
vt100	scaleHeight	ScaleHeight	1.000000
vt100	bellSuppressTime	BellSuppressTime	200
vt100	fontWarnings	FontWarnings	1
vt100	internalBorder	BorderWidth	2
vt100	limitResize	LimitResize	1
vt100	limitResponse	LimitResponse	1024
vt100	maxStringParse	MaxStringParse	600000
vt100	multiClickTime	MultiClickTime	250
vt100	nMarginBell	Column	10
vt100	pointerMode	PointerMode	1
vt100	printerControlMode	PrinterControlMode	0
vt100	titleModes	TitleModes	0
vt100	nextEventDelay	NextEventDelay	1
vt100	visualBellDelay	VisualBellDelay	100
vt100	saveLines	SaveLines	1024
vt100	scrollBarBorder	ScrollBarBorder	1
vt100	scrollLines	ScrollLines	1
vt100	initialFont	InitialFont	<unset>
vt100	font1	Font1	<unset>
vt100	font2	Font2	<unset>
vt100	font3	Font3	<unset>
vt100	font4	Font4	<unset>
vt100	font5	Font5	<unset>
vt100	font6	Font6	<unset>
vt100	font7	Font7	<unset>
